competitionId,region
AKMeetsSpeedcubing2022,Lombardia
AlmostRomeOpen2017,Lazio
ApuliaOpen2016,Puglia
BPCubeDay2014,Lombardia
BeneventumOpen2012,Campania
BigCubingItaly2013,Lombardia
BigCubingItaly2014,Lombardia
BigCubingItaly2016,Lombardia
BigCubingItaly2018,Lombardia
BigCubingItalyOpen2011,Lombardia
BolognaBackfromHolidays2021,Emilia-Romagna
BolognaNewYear2022,Emilia-Romagna
BolognaNxNSpring2019,Emilia-Romagna
BolognaSummerOpen2021,Emilia-Romagna
BolognaWinterMadness2020,Emilia-Romagna
BugellaOpen2014,Piemonte
BugellaOpen2015,Piemonte
CalabrianOpen2019,Calabria
CapodriseOpen2016,Campania
CarpiGoesBig2022,Emilia-Romagna
Castelbelforte2011,Lombardia
CubeNRoll2010,Lombardia
DesioRubiksAce2014,Lombardia
DuevilleOpen2015,Veneto
EretumOpen2014,Lazio
EretumOpen2015,Lazio
EretumOpen2017,Lazio
EretumOpen2018,Lazio
EtnaOpen2016,Sicilia
EtnaOpen2018,Sicilia
EtnaOpen2019,Sicilia
FioranoOpen2017,Emilia-Romagna
FioranoOpen2018,Emilia-Romagna
FlorenceFantastic2013,Toscana
FlorenceOpen2010,Toscana
FlorenceOpen2013,Toscana
FlorenceRubiksCubeOpen2016,Toscana
GessateOpen2017,Lombardia
HalloweenOpen2010,Lombardia
ItalianChampionship2010,Lazio
ItalianChampionship2011,Lombardia
ItalianChampionship2012,Lazio
ItalianChampionship2013,Lombardia
ItalianChampionship2014,Lazio
ItalianChampionship2015,Puglia
ItalianChampionship2016,Lombardia
ItalianChampionship2017,Lombardia
ItalianChampionship2018,Lazio
ItalianChampionship2019,Veneto
ItalianChampionship2021,Lazio
ItalianOpen2007,Lazio
ItalianOpen2008,Lombardia
ItalianOpen2009,Lombardia
ItalianOpen2011,Toscana
ItalianOpen2012,Lombardia
ItalianOpen2013,Lazio
ItalianOpen2015,Lombardia
ItalianOpen2017,Lazio
ItalianOpen2018,Lombardia
LOLSouthItalianOpen2010,Puglia
LegnanoOpen2012,Lombardia
LegnanoOpen2013,Lombardia
LegnanoOpen2014,Lombardia
MantovaOpen2015,Lombardia
MantuaOpen2009,Lombardia
MantuaOpen2010,Lombardia
MantuaSpring2011,Lombardia
MantuaSummer2017,Lombardia
MantuaTinyOpen2016,Lombardia
MantuaWinter2011,Lombardia
MantuaWinter2018,Lombardia
MantuaWinter2019,Lombardia
MediolanumOpen2010,Lombardia
MilanBLDDay2010,Lombardia
MilanBlindDay2011,Lombardia
MilanBlindDay2012,Lombardia
MilanBlindDay2013,Lombardia
MilanCubeDay2010,Lombardia
MilanCubeDay2017,Lombardia
MilanCubeDays2015,Lombardia
MilanCubeOpen2011,Lombardia
MilanCubeOpen2012,Lombardia
MilanSaturday2018,Lombardia
MilanSlamOpen2016,Lombardia
MilanSummerOpen2016,Lombardia
MilanWinterOpen2013,Lombardia
MilanWinterOpen2014,Lombardia
MilanWinterOpen2015,Lombardia
MonterotondoOpen2015,Lazio
MonticelloConteOtto2013,Veneto
MonticelloConteOtto2014,Veneto
MonticelloOpen2015,Veneto
MonzaEuroWarmup2018,Lombardia
NoParityOpen2014,Lombardia
ObeiObeiOpen2009,Lombardia
OneLookinginCavarzere2022,Veneto
PaladiamanteOpen2022,Liguria
PesaroOpen2022,Marche
PlatformOpen2014,Puglia
PoliMiItalianOpen2014,Lombardia
PoliMiMentalBreakdown2019,Lombardia
PoliMiMentalBreakdown2022,Lombardia
PoliMiOp3n2018,Lombardia
PoliMiOpen2015,Lombardia
PoliMiOpen2016,Lombardia
RespighiOpen2014,Emilia-Romagna
RoMinxOpen2016,Lazio
RoadtoICBologna2019,Emilia-Romagna
RoadtoICMilano2019,Lombardia
RoadtoICMontecatini2019,Toscana
RoadtoICMonterotondo2019,Lazio
Roma3AlCubo2018,Lazio
RomaOpen2010,Lazio
RomaOpen2011,Lazio
RomaWinterOpen2011,Lazio
RomagnaOpen2019,Lazio
RomeSlamOpen2016,Lazio
RomeSummerOpen2016,Lazio
RovigoOpen2018,Veneto
SPQROpen2022,Lazio
SalentoCubingOpen2020,Puglia
SalernoWinterOpen2013,Campania
SarzanaSeasideCubing2022,Liguria
SchioOpen2012,Veneto
SicilyOpen2018,Sicilia
SinuessaOpen2012,Campania
SmallCubingItaly2014,Lazio
SmallCubingItaly2015,Lazio
SmallCubingitaly2016,Lazio
SouthItalianOpen2009,Puglia
TiburtinaeOpen2012,Lazio
TopkekOpen2015,Lombardia
TrentinOpen2011,Trentino-AltoAdige
TriesteOpen2013,Friuli-VeneziaGiulia
TurinCubeDay2017,Piemonte
TurinWinterOpen2019,Piemonte
TuscanyOpen2017,Toscana
TuscanyOpen2018,Toscana
VenetoOpen2011,Veneto
VeronaOpen2017,Veneto